acpi 1.7-3
acpid 2.0.32-2
alsa-firmware 1.2.4-2
alsa-utils 1.2.4-2
android-tools 30.0.5-1
android-udev 20201003-1
antigen 2.2.3-2
anydesk-bin 6.1.0-1
apparmor 3.0.1-1
appimagelauncher 2.2.0-4
archlinuxcn-keyring 20201201-1
ark 20.12.2-1
avahi 0.8+15+ge8a3dd0-3
b43-fwcutter 019-3
barrier 2.3.3-1
bash 5.1.0-2
bat 0.17.1-1
bat-extras-git 2020.10.05.r11.g0d9468e-1
bitwarden 1.24.6-1
bitwarden-cli 1.15.1-1
bluedevil 1:5.20.5-1
brightnessctl 0.5.1-2
btrfs-progs 5.10-1
bzip2 1.0.8-4
calibre 5.10.1-1
cantata 2.4.2-1
caprine 2.52.0-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
chromeos-gtk-theme-git r77.2c57606-1
chromeos-kde-git r28.55d0e85-1
cope-git 170.0dc82a9-1
coreutils 8.32-1
cpupower 5.10-2
crda 4.14-3
cronie 1.5.5-2
cryptsetup 2.3.4-1
deluge 2.0.4.dev38+g23a48dd01-3
deluge-gtk 2.0.4.dev38+g23a48dd01-3
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.4.0-1
diffutils 3.7-3
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.84-1
dolphin 20.12.2-1
dolphin-plugins 20.12.2-1
dosfstools 4.1-3
downgrade 9.0.0-2
dvd+rw-tools 7.1-9
e2fsprogs 1.46.0-1
ecryptfs-utils 111-4
efibootmgr 17-2
electrum 4.0.6-1
emovix 0.9.0-8
exa 0.9.0-2
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-1
fd 8.2.1-1
ffmpeg 2:4.3.1-4
ffmpegthumbs 20.12.2-1
file 5.39-1
filelight 20.12.2-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 85.0.1-1
fwupd 1.5.5-1
fzf 0.25.1-1
gawk 5.1.0-1
gcc-libs 10.2.0-6
gettext 0.21-1
gimp 2.10.22-1
glibc 2.33-3
gnome-icon-theme 3.12.0-6
gnome-keyring 1:3.36.0-3
gnome-themes-extra 3.28-2
grc 1.11.3-2
grep 3.6-1
grub 2.04-15
grub-theme-manjaro 20.2-12
gst-libav 1.18.3-1
gst-plugins-bad 1.18.3-2
gst-plugins-base 1.18.3-1
gst-plugins-good 1.18.3-1
gst-plugins-ugly 1.18.3-1
gtk3 1:3.24.24-2
gvfs 1.46.2-1
gvfs-afc 1.46.2-1
gvfs-gphoto2 1.46.2-1
gvfs-mtp 1.46.2-1
gvfs-nfs 1.46.2-1
gvfs-smb 1.46.2-1
gwenview 20.12.2-1
gzip 1.10-3
htop 3.0.5-1
illyria-wallpaper 1.4-1
inetutils 1.9.4-8
intel-media-driver 20.4.5-1
intel-ucode 20201118-1
inxi 3.3.00.1-1
iproute2 5.10.0-2
iputils 20200821-1
jfsutils 1.1.15-7
jq 1.6-4
k3b 1:20.12.2-1
kaccounts-providers 20.12.2-1
kamera 20.12.2-1
kate 20.12.2-1
kcalc 20.12.2-1
kcolorchooser 20.12.2-1
kde-gtk-config 5.20.5-2
kdeconnect 20.12.2-1
kdegraphics-thumbnailers 20.12.2-1
kdenetwork-filesharing 20.12.2-1
kdeplasma-addons 5.20.5-1
keditbookmarks 20.12.2-1
kernel-alive 0.5-1
kfind 20.12.2-1
kgamma5 5.20.5-1
kget 20.12.2-1
khelpcenter 20.12.2-1
khotkeys 5.20.5-1
kimageformats 5.78.0-1
kinfocenter 5.20.5-1
kio-extras 20.12.2-1
kitty 0.19.3-1
kmenuedit 5.20.5-1
konsole 20.12.2-1
konversation 20.12.2-1
kscreen 5.20.5-1
kscreenlocker 5.20.5-1
ksshaskpass 5.20.5-1
ksysguard 5.20.5-1
ksystemlog 20.12.2-1
kvantum-qt5 0.18.0-1
kvantum-theme-chromeos-git r28.55d0e85-1
kwallet-pam 5.20.5-1
